tanggal,username,Text
2022-01-18 03:16:18,ojanosha,hari pertama kuliah luring sebagai angkatan pandemi: keliling2 nyari gedung dan ruang kelas:)
2022-01-17 19:35:47,WaffleHeeseung,"Udh luring teman satu""ny di kelas malah cuti. Fakkkk"
2022-01-17 15:33:59,collegemfs,"[cm] kalian yang udah pernah hybrid, boleh tau gaa itu sistemnya gimana? misalnya, di 1 pertemuan kelas itu dibagi 2 (ada yang daring &amp; luring) kah? atau yang luring tuh gantian per kelasnya?"
2022-01-17 15:17:54,aylovjk,@convomf gue 1 kelas dibagi 3 smua luring tp beda jam
2022-01-17 15:16:17,bubbleguzm,"@convomf waktu gue kemaren iya gitu, nder. dlm 1 pertemuan dibagi 2 kelas, jadi yang daring nontonin penjelasan dari yang luring gitu sih"
2022-01-17 15:15:01,convomf,"💭 kalian yang anak kuliahan &amp; udah pernah hybrid, boleh tau gaa itu sistemnya gimana? misalnya, di 1 pertemuan kelas itu dibagi 2 (ada yang daring &amp; luring) kah? atau yang luring tuh gantian per kelasnya?"
2022-01-17 12:52:16,Zarfanpr_,kampus siapa lg yg ngasihtau kuliah luring j-4 kelas mulai 👍 hebat
2022-01-17 12:50:58,bluerebell1on,"Eh yang besok luring ke itb ganesha meet up dongg WKKWWKWK tpi kelas dri jam 7-13 D:
#gws"
2022-01-17 12:48:16,bluerebell1on,Kalo kelas jam 7 luring klean bangun jamber si gais
2022-01-17 10:40:47,arbyanaa,"@collegemenfess aku luring terakhir kemaren pp itu jarak ke kampus ±42 km berangkat 2 jam sebelum kelas atau kalo mager 1,5 jam sebelum kelas:')"
2022-01-17 09:39:30,abgshine,"kuliah luring di kelas seru bet, dosen juga lebih antusias pas jelasin dan lebih enak dalam berinteraksi dengan mahasiswa"
2022-01-17 08:10:39,asaxxh1,"@collegemenfess praktek nya luring, teori daring. 1 kelas dibagi jd 4 kelompok, tiap 3 minggu gantian yg luring"
2022-01-17 07:42:44,dnll66,Ty kenapa u ngelive sekarang sih😭 aku lagi kelas luring😭😭😭
2022-01-17 06:15:44,IrawanNabiel,"matkul luring cuman di saat tertentu doang, kirain bakal tiap pertemuan kelas bakal luring.

jahhh"
2022-01-17 03:02:59,beritaKBR,"Pemerintah wajibkan Sekolah Tatap Muka 100 persen di wilayah PPKM level 1-3.

Kelas luring dinilai lebih efektif cegah hilangnya pengetahuan.

Lantas bgmn sekolah menggelar PTM secara penuh di tengah merebaknya varian Omicron? 
https://t.co/sGq4rObElq

#WrapUp #PodcastIndonesia https://t.co/FNHuf6jCIX"
2022-01-17 01:37:18,Kanimdepok,"Senin (17/01)
Kantor Imigrasi Kelas II Non TPI Depok melaksanakan kegiatan apel pagi pegawai.
Kegiatan apel pagi diikuti oleh seluruh Pejabat Struktural, Pegawai, dan PPNPN baik secara luring maupun daring.

#KantorImigrasiDepok #KID #TulusMelayaniTerusBerinovasi https://t.co/cXcek2briG"
2022-01-16 19:49:30,inqilabeestudy,"RT @collegemenfess: [Cm] selama kelas luring ini aku merasa pemahamanku kurang maksimal, ilmu yg kudapet krg terserap, dan itu jg ngaruh ke…"
2022-01-16 10:08:12,imfahsal,"Kelas luring selasa siang, balik nangor nya selasa pagi aja kali ya"
2022-01-16 03:48:04,collegemenfess,"[Cm] selama kelas luring ini aku merasa pemahamanku kurang maksimal, ilmu yg kudapet krg terserap, dan itu jg ngaruh ke n1laiku. Mgkn ada yg mau ngasih tips? Makasih sebelumnya 😊🙏 https://t.co/5g3U1eaIYK"
2022-01-15 19:10:09,SyamilBasayev20,Hilang luring kelas 11 saat masuk kelas 12 seperti beda ya semuanya
2022-01-14 14:21:53,candyyzaa,"Tanda"" di mulai perkuliahan ya muncul grup kelas dan aku masih meliburkan diri dari perkuliahan luring hehehehe https://t.co/XybRWQcmdo"
2022-01-14 11:47:26,alphakthv,"demi apasi ngebayangin nanti presentasi bener2 di depan kelas, yg biasanya tinggal baca ppt nah ini masa mahasiswa presentasi baca ppt kan ga lucu ya 🙂 lebay sih tp demi apapun gua takut luring.."
2022-01-14 10:45:12,collegemenfess,"dan hasilnya negatif, mending aku nunda pergi ngekosnya apa gimana ya? 1 sisi aku ada kelas yg luring bentar lagi"
2022-01-14 10:05:14,Kanimdepok,"Jum'at (14/01)
Kantor Imigrasi Kelas II Non TPI Depok melaksanakan kegiatan apel sore pegawai.
Kegiatan sore pagi diikuti secara langsung oleh seluruh Pejabat Struktural, Pegawai, dan PPNPN secara luring maupun daring.

#KantorImigrasiDepok #KID #TulusMelayaniTerusBerinovasi https://t.co/nD9PdIFGJu"
2022-01-14 06:22:51,kimadorable_,"@vvantaezaa Tapi bukannya kalo misal emg max fakultasmu 50%, nanti giliran yaa? Misal nnt kelas a luring, b daring. Trs mingdep gantian, ngga gitu emangnya? Soalnya di aku gitu, tapi kalo organisasi di aku emg keknya mau offline"
